자치구_코드_명,서비스_업종_코드_명,점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,년,분기,년_분기
성북구,한식음식점,1840,3.4,68,149,2024,2,2024-02
중랑구,전자상거래업,1721,2.3,39,1,2024,2,2024-02
중랑구,화장품,365,2.3,9,31,2024,2,2024-02
중랑구,문구,111,3.4,4,7,2024,2,2024-02
중랑구,의약품,267,2.1,6,15,2024,2,2024-02
중랑구,편의점,27,2.3,8,326,2024,2,2024-02
중랑구,슈퍼마켓,461,3.0,14,10,2024,2,2024-02
중랑구,여관,106,4.7,5,0,2024,2,2024-02
중랑구,커피-음료,396,5.6,31,154,2024,2,2024-02
중랑구,치킨전문점,100,5.2,12,131,2024,2,2024-02
중랑구,패스트푸드점,96,3.7,6,66,2024,2,2024-02
중랑구,양식음식점,102,6.4,7,8,2024,2,2024-02
중랑구,일식음식점,156,4.9,8,7,2024,2,2024-02
중랑구,중식음식점,108,6.0,7,8,2024,2,2024-02
중랑구,한식음식점,1978,3.9,83,142,2024,2,2024-02
동대문구,전자상거래업,2052,2.3,47,4,2024,2,2024-02
동대문구,화장품,343,2.2,8,25,2024,2,2024-02
동대문구,문구,119,1.6,2,8,2024,2,2024-02
동대문구,의약품,543,1.6,9,16,2024,2,2024-02
동대문구,편의점,35,3.9,17,402,2024,2,2024-02
동대문구,슈퍼마켓,549,2.3,13,13,2024,2,2024-02
동대문구,여관,135,6.7,9,0,2024,2,2024-02
동대문구,커피-음료,505,5.4,37,186,2024,2,2024-02
동대문구,치킨전문점,99,4.0,9,124,2024,2,2024-02
동대문구,패스트푸드점,103,5.1,10,95,2024,2,2024-02
동대문구,양식음식점,193,3.9,8,14,2024,2,2024-02
동대문구,일식음식점,173,6.5,12,13,2024,2,2024-02
동대문구,중식음식점,216,4.5,10,6,2024,2,2024-02
동대문구,한식음식점,2181,3.8,89,156,2024,2,2024-02
광진구,전자상거래업,1668,3.0,50,7,2024,2,2024-02
광진구,화장품,482,1.8,9,32,2024,2,2024-02
광진구,문구,121,0.8,1,11,2024,2,2024-02
광진구,의약품,268,2.4,7,25,2024,2,2024-02
광진구,편의점,40,5.1,21,371,2024,2,2024-02
광진구,슈퍼마켓,462,1.9,9,15,2024,2,2024-02
광진구,여관,97,3.1,3,1,2024,2,2024-02
광진구,커피-음료,669,5.1,44,189,2024,2,2024-02
광진구,치킨전문점,84,5.0,11,135,2024,2,2024-02
광진구,패스트푸드점,104,4.0,8,95,2024,2,2024-02
광진구,양식음식점,233,5.2,13,18,2024,2,2024-02
광진구,일식음식점,243,3.8,10,23,2024,2,2024-02
광진구,중식음식점,234,5.7,14,13,2024,2,2024-02
광진구,한식음식점,1981,3.6,77,177,2024,2,2024-02
성동구,전자상거래업,2074,2.1,43,6,2024,2,2024-02
성동구,화장품,462,3.1,15,23,2024,2,2024-02
성동구,문구,114,1.6,2,11,2024,2,2024-02
성동구,의약품,247,0.0,0,13,2024,2,2024-02
성동구,편의점,26,3.0,10,306,2024,2,2024-02
성동구,슈퍼마켓,463,2.5,12,20,2024,2,2024-02
성동구,여관,67,4.5,3,0,2024,2,2024-02
성동구,커피-음료,732,5.3,48,170,2024,2,2024-02
성동구,치킨전문점,70,5.3,9,101,2024,2,2024-02
성동구,패스트푸드점,126,4.6,9,70,2024,2,2024-02
성동구,양식음식점,353,5.4,20,17,2024,2,2024-02
성동구,일식음식점,218,3.9,9,15,2024,2,2024-02
성동구,중식음식점,143,2.0,3,10,2024,2,2024-02
성동구,한식음식점,1734,3.9,73,126,2024,2,2024-02
용산구,전자상거래업,1595,2.1,33,9,2024,2,2024-02
용산구,화장품,345,1.5,6,51,2024,2,2024-02
용산구,문구,139,0.7,1,7,2024,2,2024-02
용산구,의약품,170,2.8,5,10,2024,2,2024-02
용산구,편의점,48,1.8,6,278,2024,2,2024-02
용산구,슈퍼마켓,445,3.5,16,8,2024,2,2024-02
용산구,여관,80,1.3,1,0,2024,2,2024-02
용산구,커피-음료,777,3.1,30,178,2024,2,2024-02
용산구,치킨전문점,53,3.9,5,75,2024,2,2024-02
용산구,패스트푸드점,137,4.1,9,83,2024,2,2024-02
용산구,양식음식점,807,4.5,37,23,2024,2,2024-02
용산구,일식음식점,275,3.3,10,27,2024,2,2024-02
용산구,중식음식점,155,1.8,3,10,2024,2,2024-02
용산구,한식음식점,1663,4.5,80,101,2024,2,2024-02
중구,전자상거래업,1791,2.4,43,4,2024,2,2024-02
중구,화장품,745,2.2,19,115,2024,2,2024-02
중구,문구,319,0.6,2,9,2024,2,2024-02
중구,의약품,298,1.3,4,12,2024,2,2024-02
중구,편의점,38,3.0,14,423,2024,2,2024-02
중구,슈퍼마켓,971,1.6,16,10,2024,2,2024-02
중구,여관,252,2.7,7,4,2024,2,2024-02
중구,커피-음료,849,3.2,39,363,2024,2,2024-02
중구,치킨전문점,52,6.7,9,82,2024,2,2024-02
중구,패스트푸드점,130,2.6,6,97,2024,2,2024-02
중구,양식음식점,416,2.8,13,46,2024,2,2024-02
중구,일식음식점,315,3.2,11,31,2024,2,2024-02
중구,중식음식점,267,3.9,11,12,2024,2,2024-02
중구,한식음식점,2495,2.7,74,243,2024,2,2024-02
종로구,전자상거래업,1379,2.5,34,1,2024,2,2024-02
종로구,화장품,347,1.8,7,46,2024,2,2024-02
종로구,문구,259,1.7,5,28,2024,2,2024-02
종로구,의약품,285,2.0,6,16,2024,2,2024-02
종로구,편의점,31,3.6,13,335,2024,2,2024-02
종로구,슈퍼마켓,613,2.4,15,11,2024,2,2024-02
종로구,여관,253,2.4,6,1,2024,2,2024-02
종로구,커피-음료,1034,3.9,53,320,2024,2,2024-02
종로구,치킨전문점,49,2.4,3,77,2024,2,2024-02
종로구,패스트푸드점,150,0.4,1,93,2024,2,2024-02
종로구,양식음식점,541,4.4,25,27,2024,2,2024-02
종로구,일식음식점,287,3.2,10,30,2024,2,2024-02
종로구,중식음식점,199,4.4,9,6,2024,2,2024-02
종로구,한식음식점,2618,3.3,92,179,2024,2,2024-02
강동구,전자상거래업,2018,5.8,117,4,2024,1,2024-01
강동구,화장품,552,2.7,16,31,2024,1,2024-01
강동구,문구,134,2.7,4,14,2024,1,2024-01
강동구,의약품,403,1.8,8,30,2024,1,2024-01
강동구,편의점,34,2.8,12,393,2024,1,2024-01
강동구,슈퍼마켓,500,2.5,13,12,2024,1,2024-01
강동구,여관,105,3.8,4,1,2024,1,2024-01
강동구,커피-음료,611,6.3,51,196,2024,1,2024-01
강동구,치킨전문점,125,5.5,15,147,2024,1,2024-01
강동구,패스트푸드점,138,4.5,11,105,2024,1,2024-01
강동구,양식음식점,184,6.9,14,19,2024,1,2024-01
강동구,일식음식점,237,4.3,11,16,2024,1,2024-01
강동구,중식음식점,166,5.6,10,14,2024,1,2024-01
강동구,한식음식점,2034,3.4,76,177,2024,1,2024-01
송파구,전자상거래업,3377,4.6,156,12,2024,1,2024-01
송파구,화장품,1013,3.3,35,60,2024,1,2024-01
송파구,문구,252,1.1,3,25,2024,1,2024-01
송파구,의약품,709,1.2,9,38,2024,1,2024-01
송파구,편의점,68,2.2,15,627,2024,1,2024-01
송파구,슈퍼마켓,769,2.0,16,31,2024,1,2024-01
송파구,여관,132,7.6,10,0,2024,1,2024-01
송파구,커피-음료,1105,6.2,91,374,2024,1,2024-01
송파구,치킨전문점,126,4.8,16,204,2024,1,2024-01
송파구,패스트푸드점,215,5.4,22,193,2024,1,2024-01
송파구,양식음식점,479,5.2,27,38,2024,1,2024-01
송파구,일식음식점,538,3.6,21,40,2024,1,2024-01
송파구,중식음식점,243,4.1,11,23,2024,1,2024-01
송파구,한식음식점,3172,4.1,145,344,2024,1,2024-01
강남구,전자상거래업,4107,4.2,173,12,2024,1,2024-01
강남구,화장품,2770,1.2,35,107,2024,1,2024-01
강남구,문구,310,0.8,3,54,2024,1,2024-01
강남구,의약품,917,1.2,12,60,2024,1,2024-01
강남구,편의점,82,4.5,43,876,2024,1,2024-01
강남구,슈퍼마켓,942,1.9,19,53,2024,1,2024-01
강남구,여관,189,2.1,4,0,2024,1,2024-01
강남구,커피-음료,1864,3.1,80,708,2024,1,2024-01
강남구,치킨전문점,120,3.0,10,214,2024,1,2024-01
강남구,패스트푸드점,330,8.6,46,206,2024,1,2024-01
강남구,양식음식점,1398,2.7,40,92,2024,1,2024-01
강남구,일식음식점,934,3.9,39,77,2024,1,2024-01
강남구,중식음식점,470,4.5,22,23,2024,1,2024-01
강남구,한식음식점,4513,4.3,215,444,2024,1,2024-01
서초구,전자상거래업,2771,4.4,121,1,2024,1,2024-01
서초구,화장품,1134,2.5,30,60,2024,1,2024-01
서초구,문구,229,0.0,0,30,2024,1,2024-01
서초구,의약품,590,2.0,12,25,2024,1,2024-01
서초구,편의점,46,1.8,10,507,2024,1,2024-01
서초구,슈퍼마켓,495,2.5,13,29,2024,1,2024-01
서초구,여관,102,2.0,2,0,2024,1,2024-01
서초구,커피-음료,1052,3.6,50,331,2024,1,2024-01
서초구,치킨전문점,70,1.0,2,127,2024,1,2024-01
서초구,패스트푸드점,163,7.2,20,115,2024,1,2024-01
서초구,양식음식점,514,2.7,15,47,2024,1,2024-01
서초구,일식음식점,349,4.2,16,35,2024,1,2024-01
서초구,중식음식점,251,5.4,14,10,2024,1,2024-01
서초구,한식음식점,2574,3.2,91,257,2024,1,2024-01
관악구,전자상거래업,1747,6.8,119,2,2024,1,2024-01
관악구,화장품,410,5.7,25,30,2024,1,2024-01
관악구,문구,101,2.8,3,8,2024,1,2024-01
관악구,의약품,296,2.5,8,27,2024,1,2024-01
관악구,편의점,39,2.6,13,453,2024,1,2024-01
관악구,슈퍼마켓,502,2.5,13,11,2024,1,2024-01
관악구,여관,149,2.7,4,0,2024,1,2024-01
관악구,커피-음료,667,5.9,50,184,2024,1,2024-01
관악구,치킨전문점,103,5.8,15,157,2024,1,2024-01
관악구,패스트푸드점,139,7.2,17,98,2024,1,2024-01
관악구,양식음식점,239,6.0,16,26,2024,1,2024-01
관악구,일식음식점,269,9.0,26,19,2024,1,2024-01
관악구,중식음식점,219,4.7,11,14,2024,1,2024-01
관악구,한식음식점,2279,5.0,124,194,2024,1,2024-01
동작구,전자상거래업,1503,6.8,102,2,2024,1,2024-01
동작구,화장품,333,2.7,10,33,2024,1,2024-01
동작구,문구,91,2.9,3,11,2024,1,2024-01
동작구,의약품,266,1.0,3,22,2024,1,2024-01
동작구,편의점,21,3.2,11,325,2024,1,2024-01
동작구,슈퍼마켓,368,3.4,13,19,2024,1,2024-01
동작구,여관,104,4.8,5,0,2024,1,2024-01
동작구,커피-음료,490,4.0,26,162,2024,1,2024-01
동작구,치킨전문점,78,5.8,12,129,2024,1,2024-01
동작구,패스트푸드점,104,5.9,12,98,2024,1,2024-01
동작구,양식음식점,161,2.9,5,11,2024,1,2024-01
동작구,일식음식점,220,1.7,4,21,2024,1,2024-01
동작구,중식음식점,153,3.7,6,11,2024,1,2024-01
동작구,한식음식점,1628,2.6,46,161,2024,1,2024-01
영등포구,전자상거래업,2234,3.8,84,5,2024,1,2024-01
영등포구,화장품,809,2.0,17,41,2024,1,2024-01
영등포구,문구,213,0.4,1,19,2024,1,2024-01
영등포구,의약품,507,1.5,8,30,2024,1,2024-01
영등포구,편의점,57,4.3,25,525,2024,1,2024-01
영등포구,슈퍼마켓,671,2.3,16,17,2024,1,2024-01
영등포구,여관,226,4.4,10,0,2024,1,2024-01
영등포구,커피-음료,862,3.7,47,410,2024,1,2024-01
영등포구,치킨전문점,101,2.5,6,135,2024,1,2024-01
영등포구,패스트푸드점,146,5.7,15,116,2024,1,2024-01
영등포구,양식음식점,338,3.3,12,30,2024,1,2024-01
영등포구,일식음식점,361,4.1,16,33,2024,1,2024-01
영등포구,중식음식점,604,4.6,29,23,2024,1,2024-01
영등포구,한식음식점,3010,3.3,108,272,2024,1,2024-01
금천구,전자상거래업,1984,3.7,73,5,2024,1,2024-01
금천구,화장품,604,3.0,19,29,2024,1,2024-01
금천구,문구,158,0.0,0,11,2024,1,2024-01
금천구,의약품,264,3.3,9,9,2024,1,2024-01
금천구,편의점,21,3.5,12,319,2024,1,2024-01
금천구,슈퍼마켓,362,2.4,9,13,2024,1,2024-01
금천구,여관,74,4.0,3,1,2024,1,2024-01
금천구,커피-음료,374,4.5,26,206,2024,1,2024-01
금천구,치킨전문점,66,4.3,7,98,2024,1,2024-01
금천구,패스트푸드점,67,9.9,12,54,2024,1,2024-01
