자치구_코드_명,년_분기,폐업_률
양천구,2020-04,42.1
양천구,2021-01,32.9
양천구,2021-02,48.699999999999996
양천구,2021-03,56.599999999999994
양천구,2021-04,43.6
양천구,2022-01,50.0
양천구,2022-02,48.7
양천구,2022-03,63.5
양천구,2022-04,42.1
양천구,2023-01,72.6
양천구,2023-02,57.1
양천구,2023-03,55.1
양천구,2023-04,59.4
양천구,2024-01,65.5
양천구,2024-02,72.3
영등포구,2019-01,50.7
영등포구,2019-02,47.6
영등포구,2019-03,45.4
영등포구,2019-04,51.8
영등포구,2020-01,49.7
영등포구,2020-02,40.8
영등포구,2020-03,43.7
영등포구,2020-04,40.8
영등포구,2021-01,39.3
영등포구,2021-02,46.7
영등포구,2021-03,38.8
영등포구,2021-04,36.7
영등포구,2022-01,36.8
영등포구,2022-02,25.3
영등포구,2022-03,47.6
영등포구,2022-04,44.1
영등포구,2023-01,49.8
영등포구,2023-02,44.7
영등포구,2023-03,47.2
영등포구,2023-04,45.8
영등포구,2024-01,45.9
영등포구,2024-02,49.9
용산구,2019-01,41.3
용산구,2019-02,44.7
용산구,2019-03,45.7
용산구,2019-04,39.6
용산구,2020-01,54.5
용산구,2020-02,38.0
용산구,2020-03,43.2
용산구,2020-04,35.5
용산구,2021-01,35.0
용산구,2021-02,36.9
용산구,2021-03,32.1
용산구,2021-04,30.9
용산구,2022-01,36.3
용산구,2022-02,30.7
용산구,2022-03,47.5
용산구,2022-04,37.1
용산구,2023-01,40.3
용산구,2023-02,34.4
용산구,2023-03,32.7
용산구,2023-04,31.6
용산구,2024-01,42.7
용산구,2024-02,38.9
은평구,2019-01,65.5
은평구,2019-02,52.4
은평구,2019-03,55.2
은평구,2019-04,57.8
은평구,2020-01,63.7
은평구,2020-02,49.5
은평구,2020-03,49.3
은평구,2020-04,42.2
은평구,2021-01,43.6
은평구,2021-02,53.5
은평구,2021-03,40.9
은평구,2021-04,46.4
은평구,2022-01,49.2
은평구,2022-02,43.6
은평구,2022-03,56.6
은평구,2022-04,50.2
은평구,2023-01,58.4
은평구,2023-02,53.7
은평구,2023-03,56.9
은평구,2023-04,54.0
은평구,2024-01,57.9
은평구,2024-02,55.5
종로구,2019-01,46.2
종로구,2019-02,44.5
종로구,2019-03,53.2
종로구,2019-04,41.9
종로구,2020-01,44.199999999999996
종로구,2020-02,35.5
종로구,2020-03,46.8
종로구,2020-04,49.3
종로구,2021-01,33.7
종로구,2021-02,41.5
종로구,2021-03,45.1
종로구,2021-04,36.4
종로구,2022-01,29.4
종로구,2022-02,27.7
종로구,2022-03,39.4
종로구,2022-04,42.9
종로구,2023-01,45.5
종로구,2023-02,38.2
종로구,2023-03,43.7
종로구,2023-04,39.800000000000004
종로구,2024-01,36.7
종로구,2024-02,38.4
중구,2019-01,43.0
중구,2019-02,34.9
중구,2019-03,45.2
중구,2019-04,42.2
중구,2020-01,40.1
중구,2020-02,37.8
중구,2020-03,42.1
중구,2020-04,38.9
중구,2021-01,32.9
중구,2021-02,38.1
중구,2021-03,31.7
중구,2021-04,32.9
중구,2022-01,33.2
중구,2022-02,30.4
중구,2022-03,41.8
중구,2022-04,37.0
중구,2023-01,39.4
중구,2023-02,32.7
중구,2023-03,33.3
중구,2023-04,29.1
중구,2024-01,31.9
중구,2024-02,38.9
중랑구,2019-01,54.4
중랑구,2019-02,43.8
중랑구,2019-03,52.1
중랑구,2019-04,53.5
중랑구,2020-01,61.0
중랑구,2020-02,43.4
중랑구,2020-03,49.9
중랑구,2020-04,37.2
중랑구,2021-01,33.7
중랑구,2021-02,52.5
중랑구,2021-03,34.8
중랑구,2021-04,37.6
중랑구,2022-01,37.7
중랑구,2022-02,32.7
중랑구,2022-03,64.0
중랑구,2022-04,53.0
중랑구,2023-01,56.9
중랑구,2023-02,50.6
중랑구,2023-03,60.8
중랑구,2023-04,50.4
중랑구,2024-01,51.9
중랑구,2024-02,55.8
